"","h96","psuid","h88","i1","d1","j3","W5","W5xHH","s1","s28","ssxsc","s25","sd","s26","s2","s7t","s8t","s7a","s8a","s7c","s8c","s38","s15","s18","s19","s22","s24","s24a","s29","s30","s31","s32","s33","s34","s35","s36","s37","sttxsc","s39","s21","s40","s41","TRAVDATE","TRAVDay","TRAVDD","TRAVMM","TRAVYYYY","j14","j37","jjxsc","j36","j36a","j23","j24","j26","j28","j28a","j29","j30","jttxsc","j32","j33","jotxsc","j54","j31","j31a","j31b","j55","j56","j59","j60","jdungross","j34","jd","j57g","j58g","jtotcost","j62"
"11","2002",20101,121,"Person no.2","Day 3","Jrny 2",1.26791459,1.01109451,"Stage 1","No",1,70,70,"5 to under 10 miles","Surface Rail",1,"One",-9,"Adult journey",-9,"Adult journey",1,"1","DNA","DNA","DNA","Surface Rail","Surface Rail",0,"No cost",0,"No cost",0,"No cost","Season ticket",25,"15 under 30 mins",25,-9,"DNA","Other stage (Days 1-6)","Main stage",13230604800,"Thursday",17,"January",2002,"No","No",1,"Surface Rail","Surface rail","Two","Work","Home","Commuting","Commuting",30,"30 under 45 mins",30,40,"30 under 45 mins",40,1075,"1745 - 1759","1700 - 1759","M-F 1700 - 1759",1095,"1815 - 1829",1115,"1830 - 1859",76,"5 to under 10 miles",76,"Greater London","Greater London",0,"0"
"12","2002",20101,211,"Person no.1","Day 1","Jrny 4",1.40920467,1,"Stage 1","No",1,260,260,"25 to under 35 miles","Car",1,"One",-9,"Adult journey",-9,"Adult journey",-9,"DNA","Driver","Street","Household vehicle 1","Household car-driver","Car/van driver",-9,"DNA (not public stage)",-9,"DNA",-9,"DNA","DNA (not public stage)",60,"1 under 1.5 hours",60,0,"Nil","Last stage (Days 1-6)","Main stage",13230864000,"Sunday",20,"January",2002,"No","No",1,"Private: car driver","Car/van driver","One","Visit friends","Day trip/ just walk","Day trip","Day trip",60,"1 under 1.5 hours",60,60,"1 under 1.5 hours",60,1080,"1800 - 1814","1800 - 1859","Sun",1110,"1830 - 1859",1140,"1900 - 1929",260,"25 to under 35 miles",260,"Greater London","Greater London",-9,"DNA"
"13","2002",20101,211,"Person no.1","Day 5","Jrny 3",1.47967387,1.05000636,"Stage 1","No",1,66,66,"5 to under 10 miles","Car",1,"One",-9,"Adult journey",-9,"Adult journey",-9,"DNA","Driver","Public car park (All pre-1998)","Household vehicle 1","Household car-driver","Car/van driver",-9,"DNA (not public stage)",-9,"DNA",-9,"DNA","DNA (not public stage)",21,"15 under 30 mins",21,0,"Nil","Last stage (Days 1-6)","Main stage",13231209600,"Thursday",24,"January",2002,"No","No",1,"Private: car driver","Car/van driver","One","Home","Sport: participate","Sport: participate","Sport: participate",21,"15 under 30 mins",21,21,"15 under 30 mins",21,1063,"1730 - 1744","1700 - 1759","M-F 1700 - 1759",1073.5,"1745 - 1759",1084,"1800 - 1814",66,"5 to under 10 miles",66,"Greater London","Greater London",-9,"DNA"
"14","2002",20102,11,"Person no.1","Day 2","Jrny 2",0.96035164,1.03879671,"Stage 1","No",1,5,5,"Under 1 mile","Car",2,"Two",-9,"Adult journey",-9,"Adult journey",-9,"DNA","Driver","Street","Household vehicle 2","Household car-driver","Car/van driver",-9,"DNA (not public stage)",-9,"DNA",-9,"DNA","DNA (not public stage)",2,"Less than 3 mins",2,0,"Nil","Last stage (Days 1-6)","Main stage",13231555200,"Monday",28,"January",2002,"No","No",1,"Private: car driver","Car/van driver","One","Escort education","Escort education","Escort education","Escort education",2,"Less than 3 mins",2,2,"Less than 3 mins",2,484,"0800 - 0814","0800 - 0859","M-F 0800 - 0859",485,"0800 - 0814",486,"0800 - 0814",5,"Under 1 mile",5,"Greater London","Greater London",-9,"DNA"
"15","2002",20102,11,"Person no.1","Day 3","Jrny 6",0.99374536,1.07491815,"Stage 1","No",1,70,70,"5 to under 10 miles","Car",4,"Four",-9,"Adult journey",-9,"Adult journey",-9,"DNA","Driver","Street","Household vehicle 2","Household car-driver","Car/van driver",-9,"DNA (not public stage)",-9,"DNA",-9,"DNA","DNA (not public stage)",22,"15 under 30 mins",22,0,"Nil","Last stage (Days 1-6)","Main stage",13231641600,"Tuesday",29,"January",2002,"No","No",1,"Private: car driver","Car/van driver","One","Escort home","Home","Escort home (not own) & other escort","Other escort",22,"15 under 30 mins",22,22,"15 under 30 mins",22,1000,"1630 - 1644","1600 - 1659","M-F 1600 - 1659",1011,"1645 - 1659",1022,"1700 - 1714",70,"5 to under 10 miles",70,"Greater London","Greater London",-9,"DNA"
"16","2002",20102,11,"Person no.1","Day 5","Jrny 2",0.94035223,1.01716368,"Stage 1","No",1,5,5,"Under 1 mile","Car",2,"Two",-9,"Adult journey",-9,"Adult journey",-9,"DNA","Driver","Street","Household vehicle 2","Household car-driver","Car/van driver",-9,"DNA (not public stage)",-9,"DNA",-9,"DNA","DNA (not public stage)",3,"3 under 8 mins",3,0,"Nil","Last stage (Days 1-6)","Main stage",13231814400,"Thursday",31,"January",2002,"No","No",1,"Private: car driver","Car/van driver","One","Escort education","Escort education","Escort education","Escort education",3,"3 under 8 mins",3,3,"3 under 8 mins",3,480,"0800 - 0814","0800 - 0859","M-F 0800 - 0859",481.5,"0800 - 0814",483,"0800 - 0814",5,"Under 1 mile",5,"Greater London","Greater London",-9,"DNA"
"17","2002",20102,11,"Person no.1","Day 6","Jrny 7",1.05815596,1.14459006,"Stage 1","No",1,30,30,"3 to under 5 miles","Car",4,"Four",-9,"Adult journey",-9,"Adult journey",-9,"DNA","Driver","Street","Household vehicle 2","Household car-driver","Car/van driver",-9,"DNA (not public stage)",-9,"DNA",-9,"DNA","DNA (not public stage)",13,"8 under 15 mins",13,0,"Nil","Last stage (Days 1-6)","Main stage",13231900800,"Friday",1,"February",2002,"No","No",1,"Private: car driver","Car/van driver","One","Food shopping(from 98)","Home","Food shopping(from 98)","Shopping",13,"8 under 15 mins",13,13,"8 under 15 mins",13,1018,"1645 - 1659","1600 - 1659","M-F 1600 - 1659",1024.5,"1700 - 1714",1031,"1700 - 1714",30,"3 to under 5 miles",30,"Greater London","Greater London",-9,"DNA"
"18","2002",20102,62,"Person no.1","Day 7","Jrny 4",1.28583816,1.15963983,"Stage 1","No",1,30,30,"3 to under 5 miles","Car",4,"Four",-9,"Adult journey",-9,"Adult journey",-9,"DNA","Rear passenger","DNA","Non-Household veh.","Non-Householdold car-pass.","Car/van passenger",-9,"DNA (not public stage)",-9,"DNA",-9,"DNA","DNA (not public stage)",7,"3 under 8 mins",7,-9,"DNA","Last stage (Day 7)","Main stage",13231900800,"Friday",1,"February",2002,"No","No",1,"Private: car passenger","Car/van passenger","One","Eat/ drink with friends (inc. pers. bus. eat/drink pre-1995)","Visit friends","Visit friends at private home","Visit friends at private home",7,"3 under 8 mins",7,7,"3 under 8 mins",7,1200,"2000 - 2029","2000 - 2059","M-F Other times",1203.5,"2000 - 2029",1207,"2000 - 2029",30,"3 to under 5 miles",30,"South East","South East",-9,"DNA"
"19","2002",20102,81,"Person no.1","Day 3","Jrny 1",1.78635713,1.01109451,"Stage 2","No",1,50,50,"5 to under 10 miles","Other stage bus",1,"One",-9,"Adult journey",-9,"Adult journey",1,"1","DNA","DNA","DNA","Other stage bus","Other stage bus",70,"50p to under 75p",-9,"DNA",70,"50p to under 75p","Ordinary adult",40,"30 under 45 mins",40,-9,"DNA","Last stage (Days 1-6)","Main stage",13231296000,"Friday",25,"January",2002,"No","No",1,"Other stage bus","Other stage bus","Two","Home","Work","Commuting","Commuting",60,"1 under 1.5 hours",60,60,"1 under 1.5 hours",60,520,"0830 - 0844","0800 - 0859","M-F 0800 - 0859",550,"0900 - 0914",580,"0930 - 0959",60,"5 to under 10 miles",60,"Greater London","Greater London",70,"50-99p"
"20","2002",20102,81,"Person no.2","Day 5","Jrny 2",2.06172316,1.16695421,"Stage 1","No",1,10,10,"1 to under 2 miles","Other stage bus",1,"One",-9,"Adult journey",-9,"Adult journey",1,"1","DNA","DNA","DNA","Other stage bus","Other stage bus",0,"No cost",17,"15p to under 20p",17,"15p to under 20p","Travel card",25,"15 under 30 mins",25,-9,"DNA","Last stage (Days 1-6)","Main stage",13231468800,"Sunday",27,"January",2002,"No","No",1,"Other stage bus","Other stage bus","One","Food shopping(from 98)","Home","Food shopping(from 98)","Shopping",25,"15 under 30 mins",25,30,"30 under 45 mins",30,780,"1300 - 1329","1300 - 1359","Sun",795,"1300 - 1329",810,"1330 - 1359",10,"1 to under 2 miles",10,"Greater London","Greater London",17,"1-49p"
