"","Group.1","x","x","perc.cycle"
"1",2002,267273,4651,0.0174016829234528
"2",2003,314270,5417,0.0172367709294556
"3",2004,309448,5442,0.0175861534086502
"4",2005,325313,5131,0.0157725021748285
"5",2006,311376,5394,0.0173231077539695
"6",2007,305877,4751,0.0155323872013914
"7",2008,297341,5324,0.0179053679109171
"8",2009,8643,106,0.0122642600948745
